"","gene"
"628","FUN_051782_hypothetical_protein"
"629","FUN_050631_hypothetical_protein"
"630","FUN_052988_ARHGEF17_1"
"631","FUN_029965_CPLX1"
"632","FUN_049407_IFT74_1"
"633","FUN_057510_hypothetical_protein"
"634","FUN_039406_hypothetical_protein"
"635","FUN_011373_hypothetical_protein"
"636","FUN_036302_L3MBTL1"
"637","FUN_051961_B9D1"
"638","FUN_053501_TACR3_3"
"639","FUN_054073_hypothetical_protein"
"640","FUN_043981_ZC2HC1A_1"
"641","FUN_000882_ADCY5_2"
"642","FUN_011878_PDE10A"
"643","FUN_025253_KIF2A_2"
"644","FUN_007955_BRI3"
"645","FUN_022714_MARK1_2"
"646","FUN_009050_ADAMTS18_1"
"647","FUN_057264_DOCK3_7"
"648","FUN_017751_SEMA4F"
"649","FUN_029686_hypothetical_protein"
"650","FUN_051286_PTK2_6"
"651","FUN_026361_hypothetical_protein"
"652","FUN_014812_hypothetical_protein"
"653","FUN_001821_CRYL1"
"654","FUN_022345_MYO9B_6"
"655","FUN_026268_MTO1"
"656","FUN_008934_hypothetical_protein"
"657","FUN_057283_hypothetical_protein"
"658","FUN_005433_SEPTIN7_1"
"659","FUN_057443_SEMA4C_1"
"660","FUN_010469_FAM65A"
"661","FUN_019859_GRM5_1"
"662","FUN_022477_hypothetical_protein"
"663","FUN_029973_hypothetical_protein"
"664","FUN_033394_TRPM1"
"665","FUN_057265_hypothetical_protein"
"666","FUN_048760_hypothetical_protein"
"667","FUN_014230_SNAI2_2"
"668","FUN_013242_hypothetical_protein"
"669","FUN_043815_SNAP91_7"
"670","FUN_005883_PRDM9_11"
"671","FUN_056040_hypothetical_protein"
"672","FUN_051985_PSMB2_1"
"673","FUN_013275_GALNT2_1"
"674","FUN_022192_hypothetical_protein"
"675","FUN_009107_RFX7_2"
"676","FUN_038332_SLC7A4"
"677","FUN_049457_PCSK5_2"
"678","FUN_056617_PRAF2"
"679","FUN_003327_hypothetical_protein"
"680","FUN_055735_DPF3_2"
"681","FUN_030699_PSMA6_2"
"682","FUN_060007_PBRM1_3"
"683","FUN_049430_PRPF4"
"684","FUN_036982_B4GALT3"
"685","FUN_030052_NLRP12_131"
"686","FUN_005196_hypothetical_protein"
"687","FUN_048676_PKD1_3"
"688","FUN_052137_CTXN2_3"
"689","FUN_016766_hypothetical_protein"
"690","FUN_034483_hypothetical_protein"
"691","FUN_023660_hypothetical_protein"
"692","FUN_021443_GNAO1_4"
"693","FUN_005830_NUDT19"
"694","FUN_037455_PIK3CA_2"
"695","FUN_004370_KLHDC8A_2"
"696","FUN_039150_hypothetical_protein"
"697","FUN_060135_TRIM3_3"
"698","FUN_000488_COPS8"
"699","FUN_018363_sgip1"
"700","FUN_029974_PCDH7_4"
"701","FUN_054658_FRMPD1_3"
"702","FUN_010772_PPFIBP1_1"
"703","FUN_046738_PLXNA3_4"
"704","FUN_031472_GSTZ1"
"705","FUN_018024_GAL3ST2_1"
"706","FUN_046627_RAPGEF1_2"
"707","FUN_027289_CACNA1G_2"
"708","FUN_026817_GLRX3"
"709","FUN_029274_hypothetical_protein"
"710","FUN_029507_MARCKSL1"
"711","FUN_054377_TYRP1_2"
"712","FUN_005272_TMEM33"
"713","FUN_005707_MPPED2"
"714","FUN_006153_hypothetical_protein"
"715","FUN_056091_hypothetical_protein"
"716","FUN_022500_UHRF1"
"717","FUN_054614_WDR19"
"718","FUN_028793_TANC1_5"
"719","FUN_054680_MTNR1AA"
"720","FUN_014190_ADAMTS16"
"721","FUN_027311_DUSP3_2"
"722","FUN_033762_TPH1_2"
"723","FUN_031250_TPP1"
"724","FUN_001177_MYO1B_1"
"725","FUN_018781_hypothetical_protein"
"726","FUN_001314_DYNC1I2_1"
"727","FUN_051745_USP31_3"
"728","FUN_008076_hypothetical_protein"
"729","FUN_005323_CTBP1_2"
"730","FUN_001805_TXNDC9"
"731","FUN_028245_hypothetical_protein"
"732","FUN_056098_PSMC6"
"733","FUN_038545_hypothetical_protein"
"734","FUN_031930_TRAPPC12_3"
"735","FUN_031140_hypothetical_protein"
"736","FUN_037532_ANAPC10"
"737","FUN_035477_MTMR14"
"738","FUN_044730_TMEM14C"
