"","gene"
"538","FUN_042159_CWC25"
"539","FUN_013078_KLC4"
"540","FUN_005535_SETD6"
"541","FUN_048261_SERHL2"
"542","FUN_021499_PLEKHA7_5"
"543","FUN_048903_AKAP8L_1"
"544","FUN_014372_hypothetical_protein"
"545","FUN_024585_HEPHL1_3"
"546","FUN_028492_DDX17_1"
"547","FUN_025276_hypothetical_protein"
"548","FUN_027704_EEF2K"
"549","FUN_055708_hypothetical_protein"
"550","FUN_009650_ERGIC2"
"551","FUN_004506_hypothetical_protein"
"552","FUN_015845_TNFAIP8L2B"
"553","FUN_019498_RNF4"
"554","FUN_018323_hypothetical_protein"
"555","FUN_024998_hypothetical_protein"
"556","FUN_032142_LARP1B_1"
"557","FUN_049096_CAPN6"
"558","FUN_006061_LAMA2_6"
"559","FUN_010832_hypothetical_protein"
"560","FUN_009924_hypothetical_protein"
"561","FUN_046006_MDH1_1"
"562","FUN_033329_hypothetical_protein"
"563","FUN_008093_hypothetical_protein"
"564","FUN_037001_hypothetical_protein"
"565","FUN_043086_URB1_2"
"566","FUN_024834_hypothetical_protein"
"567","FUN_045995_hypothetical_protein"
"568","FUN_002908_TRIM35_14"
"569","FUN_041496_hypothetical_protein"
"570","FUN_036021_MAST2_2"
"571","FUN_032427_GCC1"
"572","FUN_015524_CTPS1"
"573","FUN_034724_hypothetical_protein"
"574","FUN_004846_st3gal8"
"575","FUN_028962_hypothetical_protein"
"576","FUN_019226_ELF1_1"
"577","FUN_009451_CPT1A_1"
"578","FUN_051631_KCNQ4_2"
"579","FUN_006868_TRAF7"
"580","FUN_027408_ZDHHC4"
"581","FUN_008863_hypothetical_protein"
"582","FUN_006800_hypothetical_protein"
"583","FUN_048575_FBXO48"
"584","FUN_026459_CHST15_1"
"585","FUN_035115_RBM5"
"586","FUN_019375_hypothetical_protein"
"587","FUN_031704_hypothetical_protein"
"588","FUN_012416_DYNC2LI1"
"589","FUN_016517_hypothetical_protein"
"590","FUN_013685_hypothetical_protein"
"591","FUN_002014_COL4A3BP_1"
"592","FUN_049044_TP53_4"
"593","FUN_014382_hypothetical_protein"
"594","FUN_008842_ARMC5"
"595","FUN_009725_ATP8A1_7"
"596","FUN_028819_CXCR4_2"
"597","FUN_031934_hypothetical_protein"
"598","FUN_031127_hypothetical_protein"
"599","FUN_009275_FHOD1"
"600","FUN_002153_HINT2"
"601","FUN_038634_hypothetical_protein"
"602","FUN_006893_hypothetical_protein"
"603","FUN_033544_UGT2A3_2"
"604","FUN_039587_hypothetical_protein"
"605","FUN_016076_hypothetical_protein"
"606","FUN_054825_NAA30_2"
"607","FUN_043370_TRIM59"
"608","FUN_001512_FER1L6"
"609","FUN_031223_RPAP1_2"
"610","FUN_023168_SP2"
"611","FUN_032146_LARP1B_3"
