gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17321,Zfp1001,98.9850781,94.26598337,90.31961624,93.56105151,88.4916601,83.22148562
g17322,Zfp1003,0,2.356649584,0,1.215078591,6.320832864,2.029792332
g17323,Zfp1004,401.7064334,384.9194321,410.8085771,425.2775069,432.9770512,428.2861821
g17324,Zfp1005,216.2295395,195.6019155,202.9763419,218.7141464,263.368036,238.500599
g17325,Zfp1006,58.62223072,74.62723684,86.43490156,75.33487264,63.20832864,59.8788738
g17326,Zfp1007,25.94754474,44.7763421,56.32836281,31.59204337,33.71110861,34.50646965
g17327,Zfp1008,22.10346404,38.49194321,18.45239472,20.65633605,12.64166573,18.26813099
g17328,Zfp1009,36.51876668,65.98618836,90.31961624,55.89361519,55.83402363,35.52136581
g17329,Zfp101,127.8156834,128.0446274,112.6567256,134.8737236,119.0423523,154.2642172
g17330,Zfp1010,31.7136658,24.3520457,20.39475205,46.17298646,49.51319077,43.64053514
g17331,Zfp105,247.9432053,296.1522978,295.2383154,217.4990678,245.4590096,281.126238
g17332,Zfp106,4480.276059,4512.198404,4643.205218,3562.610429,3345.827529,3421.214976
g17333,Zfp108,5.766121054,7.069948753,6.798250685,10.93570732,10.53472144,17.25323482
g17334,Zfp109,173.9446518,209.741813,136.9361924,208.9935177,281.2770624,165.4280751
g17335,Zfp11,166.2564904,135.1145762,165.1003738,117.8626233,155.9138773,132.9513978
g17336,Zfp110,270.0466694,241.1638075,230.1693446,307.4148835,266.5284524,368.4073083
g17337,Zfp111,390.1741913,377.0639335,367.105537,364.5235773,357.1270568,304.4688498
g17338,Zfp112,45.16794826,47.91854155,69.92486418,68.0444011,80.06388294,57.84908146
g17339,Zfp113,478.5880475,429.6957742,459.3675105,479.9560435,432.9770512,475.9863019
g17340,Zfp114,14.41530264,25.92314543,26.22182407,8.505550137,6.320832864,9.134065494
g17341,Zfp119a,48.05100878,77.76943628,47.58775479,59.53885096,46.35277434,61.90866613
g17342,Zfp119b,67.2714123,75.4127867,73.80957886,65.61424392,54.78055149,44.65543131
g17343,Zfp12,699.6226879,648.0786357,733.2398953,897.9430788,861.7402138,776.395567
g17344,Zfp120,221.9956606,196.3874654,180.6392325,187.122103,196.9992909,198.9196485
g17345,Zfp128,117.2444614,102.9070318,66.04014951,95.99120869,101.1333258,86.26617411
g17346,Zfp13,136.4648649,150.0400235,172.8698031,222.3593822,205.4270681,207.0388179
g17347,Zfp131,704.4277888,506.6796606,562.3124495,722.9717617,626.8159257,716.5166932
