baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
3.119379472,0.467395127,1.292234412,0.36169531,0.717579732,0.81176556,1700072F12Rik,1700072F12Rik,0,3.927749307,3.884714677,3.645235773,4.213888576,3.044688498
9.64660597,0.606551579,0.712265891,0.851580268,0.394447095,0.534743293,1700082M22Rik,1700082M22Rik,10.57122193,4.713299169,7.769429354,12.15078591,9.481249296,13.19365016
2.442294718,-0.79262985,1.551641502,-0.510833107,0.609467924,0.726982026,1700084J12Rik,1700084J12Rik,0,1.571099723,7.769429354,1.215078591,1.053472144,3.044688498
71.41040926,0.534220809,0.268815729,1.987312316,0.046887798,0.097258466,1700086O06Rik,1700086O06Rik,63.42733159,62.84398891,48.55893346,82.62534419,96.91943725,74.08742012
7.699909608,-0.118918097,0.862827736,-0.137823683,0.890379766,0.932201443,1700086P04Rik,1700086P04Rik,5.766121054,4.713299169,13.59650137,8.505550137,11.58819358,2.029792332
36.01452929,0.863157072,0.392068419,2.201547051,0.02769732,0.06191896,1700088E04Rik,1700088E04Rik,17.29836316,24.3520457,34.96243209,53.46345801,48.45971862,37.55115814
9.973732589,1.839628844,0.752574508,2.44444746,0.014507421,0.035010788,1700094M23Rik,1700094M23Rik,2.883060527,7.069948753,2.913536008,15.79602168,20.01597074,11.16385783
2.332028571,0.20446815,1.420997221,0.143890605,0.885586854,0.929022502,1700095J03Rik,1700095J03Rik,3.844080703,0.785549861,1.942357338,1.215078591,3.160416432,3.044688498
3.164042871,-3.944356495,1.655480294,-2.382605525,0.017190604,0.040615624,1700096K18Rik,1700096K18Rik,4.805100878,10.2121482,2.913536008,0,1.053472144,0
1.955848464,-0.760025672,1.667891259,-0.45568059,0.648619682,NA,1700102P08Rik,1700102P08Rik,0,1.571099723,5.827072015,1.215078591,2.106944288,1.014896166
2.07186153,-0.441304232,1.592268263,-0.277154448,0.781661515,0.858656749,1700105P06Rik,1700105P06Rik,0.961020176,2.356649584,3.884714677,0,4.213888576,1.014896166
3.384145507,2.823274904,1.507281286,1.873090928,0.06105583,0.121672459,1700109H08Rik,1700109H08Rik,0,2.356649584,0,8.505550137,8.427777152,1.014896166
3.015268819,2.15840754,1.530667993,1.410108234,0.158507726,0.265586043,1700112J16Rik,1700112J16Rik,0,3.142199446,0,9.720628728,4.213888576,1.014896166
5.397000096,-0.874874957,1.117976052,-0.782552502,0.433889943,0.572603492,1700113A16Rik,1700113A16Rik,1.922040351,6.284398891,12.6253227,8.505550137,0,3.044688498
1.794209806,-3.039401665,2.265308564,-1.341716406,0.179687965,NA,1700113H08Rik,1700113H08Rik,0,0,9.711786692,0,1.053472144,0
3.165857668,0.025353123,1.314260965,0.019290783,0.984609136,0.990454366,1700120B22Rik,1700120B22Rik,0,5.49884903,3.884714677,2.430157182,2.106944288,5.07448083
3.019624084,-1.617907858,1.34308805,-1.204617864,0.228350857,0.35347295,1700123M08Rik,1700123M08Rik,1.922040351,3.927749307,7.769429354,2.430157182,1.053472144,1.014896166
123.0145075,-0.023600715,0.226354613,-0.104264341,0.916959576,0.949210882,1700123O20Rik,1700123O20Rik,98.02405792,124.1168781,149.5615151,144.5943523,97.97290939,123.8173323
319.0041298,-0.638977205,0.127675497,-5.004697225,5.59E-07,2.84E-06,1810009A15Rik,1810009A15Rik,361.3435861,403.7726288,400.1256117,250.3061898,253.8867867,244.589976
35.96629577,3.50752181,0.497301443,7.053110058,1.75E-12,1.45E-11,1810010H24Rik,1810010H24Rik,9.610201757,1.571099723,6.798250685,60.75392955,56.88749578,80.17679712
2.716428878,1.407897953,1.363503832,1.032558852,0.301810393,0.437209228,1810010K12Rik,1810010K12Rik,1.922040351,1.571099723,0.971178669,2.430157182,7.374305008,2.029792332
6.950958018,0.051879775,0.919438361,0.056425506,0.955002838,0.973976774,1810014B01Rik,1810014B01Rik,11.53224211,7.069948753,1.942357338,2.430157182,12.64166573,6.089376996
5.974754363,0.110989733,0.914315615,0.121391051,0.903381305,0.940398063,1810019N24Rik,1810019N24Rik,8.649181581,4.713299169,3.884714677,6.075392955,9.481249296,3.044688498
4.346149686,-0.251223497,1.082448097,-0.232088262,0.816469462,0.882616384,1810021M19Rik,1810021M19Rik,7.688161405,5.49884903,0.971178669,3.645235773,4.213888576,4.059584664
275.0846548,0.177208289,0.134265457,1.319835295,0.186890015,0.302101642,1810030O07Rik,1810030O07Rik,258.5144273,256.0892548,260.2758833,280.6831545,310.7742825,284.1709265
94.94179256,-0.383217291,0.229564191,-1.669325211,0.095052946,0.17553265,1810037I17Rik,1810037I17Rik,95.14099739,106.8347812,120.426155,85.05550137,77.95693866,84.23638178
5.680782797,-0.345093245,1.119312404,-0.308308247,0.757847791,0.841735486,1810044D09Rik,1810044D09Rik,14.41530264,4.713299169,0,2.430157182,9.481249296,3.044688498
256.7035569,-0.176561742,0.146004032,-1.209293605,0.226550067,0.351402268,1810055G02Rik,1810055G02Rik,266.2025887,259.2314543,291.3536008,270.9625258,217.0152617,235.4559105
1.934164224,-0.265672545,1.75361181,-0.151500203,0.879581151,NA,1810062G17Rik,1810062G17Rik,4.805100878,1.571099723,0,0,4.213888576,1.014896166
11.61840446,0.083893505,0.702354018,0.119446181,0.904921876,0.941637497,2010001A14Rik,2010001A14Rik,11.53224211,16.49654709,5.827072015,6.075392955,9.481249296,20.29792332
6.079722663,-0.138669049,0.898468385,-0.154339375,0.877342152,0.923946217,2010004M13Rik,2010004M13Rik,10.57122193,4.713299169,3.884714677,4.860314364,7.374305008,5.07448083
49.52826557,-0.167917844,0.322772049,-0.520236634,0.602898655,0.72170029,2010204K13Rik,2010204K13Rik,46.12896843,54.9884903,56.32836281,37.66743632,43.1923579,58.86397763
64.26872176,0.976445331,0.304566439,3.206017488,0.001345858,0.004108669,2010315B03Rik,2010315B03Rik,57.66121054,37.70639335,34.96243209,66.82932251,102.186798,86.26617411
26.51484814,-0.265531838,0.446555173,-0.59462269,0.55209571,0.678476723,2010320M18Rik,2010320M18Rik,36.51876668,24.3520457,26.22182407,17.01110027,32.65763646,22.32771565
4.059160511,1.368049435,1.155762698,1.183676751,0.236541046,0.363539175,2010320O07Rik,2010320O07Rik,0.961020176,4.713299169,0.971178669,7.290471546,7.374305008,3.044688498
3.102548878,2.500810856,1.525214845,1.639644975,0.101079006,0.184494028,2210011K15Rik,2210011K15Rik,2.883060527,0,0,1.215078591,8.427777152,6.089376996
134.5826082,0.220241182,0.199655515,1.103105926,0.269981168,0.401909017,2210016L21Rik,2210016L21Rik,107.6342597,145.3267244,119.4549763,147.0245095,133.7909623,154.2642172
48.1859582,0.304384197,0.329613026,0.92345925,0.355767927,0.495500383,2210408F21Rik,2210408F21Rik,42.28488773,45.56189196,41.76068278,37.66743632,56.88749578,64.95335463
45.31173865,0.131301843,0.336120853,0.390638789,0.69606425,0.795469444,2210408I21Rik,2210408I21Rik,41.32386755,39.27749307,49.53011213,35.23727914,53.72707934,52.77460063
2.925230409,-1.125893988,1.308291954,-0.860583133,0.389467679,0.529473392,2210416O15Rik,2210416O15Rik,2.883060527,2.356649584,6.798250685,2.430157182,1.053472144,2.029792332
119.5353216,0.036127799,0.532680573,0.067822632,0.945926827,0.968114755,2210418O10Rik,2210418O10Rik,70.15447282,122.5457784,161.2156591,166.465767,136.9513787,59.8788738
37.14080461,0.132116322,0.425129664,0.310767122,0.755977666,0.840494216,2300009A05Rik,2300009A05Rik,30.75264562,55.77404016,19.42357338,37.66743632,29.49722003,49.72991214
75.95941567,0.591031071,0.268369967,2.202299596,0.027644153,0.061815938,2310009B15Rik,2310009B15Rik,58.62223072,48.70409141,74.78075753,99.63644446,95.8659651,78.14700479
2.188977455,0.448743357,1.581048286,0.283826472,0.776543367,0.8549717,2310010J17Rik,2310010J17Rik,4.805100878,0.785549861,0,2.430157182,1.053472144,4.059584664
61.54352739,-0.336636205,0.28277332,-1.19048079,0.233857476,0.36040632,2310011J03Rik,2310011J03Rik,68.23243247,69.12838781,68.95368551,47.38806505,51.62013506,63.93845846
41.00977649,0.256500751,0.375372994,0.683322335,0.494403184,0.628144338,2310015A10Rik,2310015A10Rik,31.7136658,29.85089473,50.5012908,58.32377237,43.1923579,32.47667731
297.2628332,-0.687470149,0.139502753,-4.92800418,8.31E-07,4.14E-06,2310022A10Rik,2310022A10Rik,365.1876668,333.8586911,401.0967904,246.660954,231.7638717,205.0090255
564.6515333,-0.251318001,0.098144105,-2.56070398,0.010446032,0.026239867,2310022B05Rik,2310022B05Rik,654.4547396,600.945644,585.6207375,526.1290299,520.4152391,500.3438099
11.49353789,-0.532769193,0.698671641,-0.762545897,0.445734261,0.583863709,2310030G06Rik,2310030G06Rik,20.18142369,15.71099723,4.855893346,8.505550137,11.58819358,8.119169328
339.513033,-1.058358773,0.135209691,-7.827536369,4.98E-15,4.88E-14,2310033P09Rik,2310033P09Rik,409.3945948,443.8356717,523.4653027,212.6387534,226.496511,221.2473642
6.295452324,0.619765996,0.869620125,0.712685894,0.476040147,0.611446032,2310034G01Rik,2310034G01Rik,4.805100878,7.069948753,2.913536008,8.505550137,7.374305008,7.104273162
22.2628969,-0.148764251,0.491741225,-0.302525481,0.762251512,0.844349812,2310039H08Rik,2310039H08Rik,16.33734299,18.06764681,35.93361076,21.87141464,21.06944288,20.29792332
54.43082096,0.926729166,0.353945665,2.618280878,0.008837403,0.02263231,2310040G24Rik,2310040G24Rik,24.98652457,36.13529363,51.47246947,81.4102656,45.29930219,87.28107028
4.024345315,0.288123265,1.085605117,0.265403378,0.790698735,0.865347469,2310047D07Rik,2310047D07Rik,5.766121054,3.142199446,1.942357338,6.075392955,3.160416432,4.059584664
10.83888138,-0.0162316,0.663996427,-0.024445313,0.980497405,0.988274537,2310047K21Rik,2310047K21Rik,9.610201757,13.35434764,9.711786692,9.720628728,8.427777152,14.20854632
307.8365533,-0.193267884,0.143900772,-1.343063569,0.179251391,0.292517487,2310057M21Rik,2310057M21Rik,347.8893036,297.7233975,339.9125342,309.8450407,237.0312324,314.6178115
30.56735811,0.867865535,0.421143072,2.060738011,0.039328041,0.083808584,2310058D17Rik,2310058D17Rik,25.94754474,19.63874654,19.42357338,41.3126721,26.3368036,50.7448083
11.06191516,-0.308075013,0.721608512,-0.426928186,0.669431635,0.775236569,2310058N22Rik,2310058N22Rik,15.37632281,17.28209695,3.884714677,12.15078591,11.58819358,6.089376996
181.7011133,-0.250482725,0.169218146,-1.480235606,0.138810381,0.239015152,2310061I04Rik,2310061I04Rik,179.7107729,220.7395111,191.3221978,168.8959242,158.0208216,171.5174521
